,Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,Avg_lottary_expanses,Age_group,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Avg_size_per_room,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_education_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_government_satisfaction,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Financial_agenda_matters,Num_of_kids_born_last_10_years,Overall_happiness_score,Most_Important_Issue_Education,Most_Important_Issue_Environment,Most_Important_Issue_Financial,Most_Important_Issue_Foreign_Affairs,Most_Important_Issue_Healthcare,Most_Important_Issue_Military,Most_Important_Issue_Other,Most_Important_Issue_Social,Main_transportation_Car,Main_transportation_Foot_or_bicycle,Main_transportation_Motorcycle_or_truck,Main_transportation_Public_or_other,Occupation_Hightech,Occupation_Industry_or_other,Occupation_Public_Sector,Occupation_Services_or_Retail,Occupation_Student_or_Unemployed
12,9,0.7777777777777777,0.13069637993449348,-0.03457078520200856,-1,-0.14691945391238045,-1,-0.1304783883977642,1,-1,-1,0.3950395980676935,-0.8459897362196327,-0.37228571428571433,-0.2969925808291333,-0.7996550037108346,-0.23917922563832344,0.5863847207621222,0.03692892367700451,-0.14701332412585588,-0.3386062031894545,-0.19949166972235363,1,-0.39215165665042806,-0.8962273869174296,-0.21960057807791228,0.7663706106888069,0.1332920108349184,-0.7759159698835156,-0.2848460005526376,-0.678947872352987,-1.5526413214095822,1,-0.6480847575222659,0.1827113956446075,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
13,2,-0.33333333333333337,-0.12187823006047611,-0.3322451754447957,0,-0.29392422277226193,-1,0.2605277583284329,1,-1,-1,0.9260102055889079,0.3023432647866342,0.8682857142857143,0.1041531740939452,0.6873279543750084,-0.47330828934906166,0.801523968665266,-0.9632156703962061,0.22038301946398403,-1.6520425037867543,0.11813880442250788,-1,-0.6127584975541986,-0.45180148467437387,-0.5545498200604264,-0.7901326965022768,-0.12015697708936204,-0.7759159698835156,0.08959944618322384,-0.3587850471026038,-0.7725875462091892,1,-0.6480847575222659,0.6177874617049328,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
14,0,-1.0,1.8763668270690792,-0.347294252298392,0,1.6654289702819005,-1,0.8049649839365407,1,1,1,-0.7176977846247503,0.2908827389099027,0.8494285714285714,1.9409453868176818,-0.9236521304294276,-0.9398105930586554,0.3600894301221442,0.9012313437824164,1.5969092153293623,-0.4220950145586057,0.9388289276399093,-1,-0.9477821501656959,-0.22377017616951866,-1.4015902084370409,0.6878911906843581,1.8850057272473688,0.27090137408576487,1.2129357863908081,1.0121109034843976,-0.7725875462091892,1,1.3713202291930071,-0.7320804830573173,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
15,9,-1.0,-0.3207693411001863,-0.18430244237150467,-1,-0.38918548476767933,-1,-0.07909641585042018,1,1,1,0.24898285861854386,0.4854587503082164,0.1657142857142857,-0.25830580731418407,0.13585640355900996,0.0851866856085604,-0.8214547325716937,0.24772198900882136,-0.11002487885289378,-0.9082055937985554,-0.1123911743914325,1,-0.09836343258682653,-0.5234622303356928,0.1415105849728013,0.8197183609135155,-0.31973662124592955,-0.7759159698835156,0.08959944618322384,-0.9094392361787637,-0.7725875462091892,-1,0.36161773583537066,0.17949256392261034,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
18,9,0.5555555555555556,-0.6111692751695414,-0.5729303893678303,-1,-0.4958388287117775,-1,0.09893978724432156,1,1,-1,0.5627755256255296,-0.9658901644839644,-0.49428571428571433,-0.2727326558925297,-0.236045841041163,-0.5367239335976653,-0.1239948191682323,0.7952713847242401,-0.12377591220954995,-0.20944054212196306,-0.29211152334283913,0,-0.6166316553399492,0.6506978988170415,-0.5611979931545522,0.7250703446251714,-0.6111418798484916,1.3177187180550454,1.5873812331266695,-0.41336033735668554,0.0074662289912037555,1,-0.6480847575222659,-0.04688343387015361,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19,4,0.7777777777777777,-0.9356827217977626,-0.6507800403502376,1,-0.5694669187158814,1,-0.13270707325627526,1,-1,1,-0.5624413544864522,-0.7648294514625426,0.5465714285714285,-0.11865218669571032,-0.5540943045602182,0.05898329532172077,0.36426554622091856,-0.08653647261540998,0.020587566638372894,-1.3114323530560867,-0.10348233430290109,1,-0.14589642676877237,0.6711737650991907,0.08761537010254555,0.6060053227037476,-0.9367787469816169,1.3177187180550454,-0.659291447288499,-0.9580749182939188,-1.5526413214095822,1,0.36161773583537066,-0.1694326286282989,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
20,8,0.33333333333333326,-1.0905731975544832,-0.7540952295698867,1,-0.5876582640769638,-1,0.2670434962610796,1,1,1,0.9009581467102203,-0.2851286033933015,0.29428571428571426,0.05996090353598733,0.7038905204557773,0.2129531718132807,-0.7024649768855193,0.7926012000765761,0.18153432097005706,-0.43933726908049575,0.20423080786411918,-1,-0.0163214069154805,-0.9852245782026227,0.23127889687217282,0.7608928124291798,-1.0922054319316632,-1.2993246418681559,0.08959944618322384,-0.8705885138985313,-1.5526413214095822,-1,-0.6480847575222659,0.5444044233838838,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
21,5,0.33333333333333326,-0.681374080278828,-0.3577497685569729,-1,-0.5158431757446176,1,-0.712528544463712,-1,-1,1,-0.9878063402731162,0.9164846215877587,0.6825714285714286,-0.8460654230912402,-0.2323111435677786,0.3849197479487464,-0.3148245515135152,-0.37312553986063346,-0.7181618032466079,-0.8504289163655556,-0.6187546817553049,1,0.339871421114112,0.23229243463821425,0.5831643813704909,0.054186774574747076,-0.6815897242627753,-1.2993246418681559,-0.659291447288499,-0.197362703416585,0.7875200041915967,1,-0.6480847575222659,-0.6035056218230446,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
22,8,-1.0,1.1510758962320815,0.4956561759291116,1,0.7434867122821397,1,0.2180975425046522,1,-1,-1,0.7093457086694188,-0.1525819638638658,0.46685714285714286,0.2949617958079623,0.8280413144752159,-0.24243281147714352,0.8091431860939184,0.9848700371328885,0.3840671855679835,-0.6220446678738557,0.18542588051523262,-1,-0.46749960043439986,0.9865576962902545,-0.3257920423354989,0.8953841513889536,1.1572039397410174,-1.8227333138527961,-0.2848460005526376,-0.7588562274984806,0.0074662289912037555,-1,0.36161773583537066,0.15851480361297407,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
23,1,0.11111111111111116,-0.5948018447658173,-0.7772633356938063,-1,-0.49085157574758065,-1,-1.6727342331988297,1,1,-1,0.31236837770394454,0.8040989024793197,0.8657142857142857,-1.4832909707342474,0.016186702585371693,-1.4701472203000976,0.9615734946444188,0.7222755045920715,-1.5497355848671008,0.16565411765248444,-1.6307039316677379,1,-0.9495113483556745,0.48817732113549384,-1.4100212522750664,-0.9241553643627689,-0.5947177876754542,0.7943100460704051,1.5873812331266695,1.4629074456392603,-1.5526413214095822,-1,-0.6480847575222659,-1.6505000258233655,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
24,8,-0.11111111111111116,-0.23766922584542602,-0.12213327673020694,0,-0.351580319032431,-1,0.17586432188691872,1,1,1,-0.2378483677261417,-0.792584564282569,0.15942857142857148,-0.1548953189509535,0.9848719275601354,0.10103745914904082,-0.7749839432149243,0.21717991369300638,-0.012886296129293744,-0.2965593018115123,0.06906352763006561,-1,-0.09830324737532116,0.8333781011416526,0.1415779091774671,-0.07606116742754632,-0.23634882520909362,-1.2993246418681559,0.08959944618322384,-0.6661981996783058,-0.7725875462091892,1,0.36161773583537066,0.6701869480201422,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
25,8,-0.7777777777777778,0.5260940931566742,0.5879215843223543,-1,0.14170033081295294,1,0.31018939748461605,-1,1,1,0.6087405631576484,0.06347562522845496,0.1665714285714286,0.25458098943196694,0.6963311870929383,0.347046236068988,-0.27864771156954105,0.4170638329345673,0.3499539978630708,-0.30412169414567464,0.30850177528568967,1,0.09732770838152822,0.5105195267320344,0.34963164323190465,-0.24646268798632498,0.5300585362556107,-1.2993246418681559,-0.659291447288499,-1.1147407884163287,-0.7725875462091892,-1,-0.6480847575222659,0.32152544304805897,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
26,8,0.7777777777777777,-0.8197977163228334,-0.5161360082068635,1,-0.5486932893600485,-1,0.43306776590323726,-1,1,-1,-0.22140188083622336,0.4209995284475665,0.8320000000000001,0.3453443807875508,-0.9218280222522105,0.3966179854299402,0.7486089939580762,-0.5450124025815151,0.42625164674769594,-1.00863416399623,0.41457138186328,1,0.1376448887311938,-0.4278311503209755,0.3901263449443071,-0.10301637062206981,-0.8204925636698874,-1.8227333138527961,-0.2848460005526376,-0.9384311305984354,-0.7725875462091892,1,-0.6480847575222659,0.22815344479447583,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
27,10,-0.5555555555555556,-1.1772252917659423,-0.8824752289599611,-1,-0.5930571883090233,1,-1.396196387653982,1,1,1,-0.5923234612267345,-0.4209842055089641,-0.9397142857142857,-1.7374234870697602,-0.7777462685352308,-1.673645127863707,-0.9539669862325247,0.41401437875846714,-1.9798565502646752,2.077124404035336,-1.5788755854127692,1,-0.9796997666226973,0.4417961833119435,-1.5967695339411865,-0.7782344212620798,-1.1791575036503794,0.7943100460704051,1.5873812331266695,1.2548890515335156,1.5675737793919895,1,-0.6480847575222659,-0.666118232994217,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
28,6,0.7777777777777777,0.48414510283506357,1.136781981336452,0,0.10769499523485851,-1,0.724608965110991,-1,1,-1,-0.49420627091749114,0.9700719164519933,0.18285714285714283,0.933536071424387,-0.0448240136087904,1.2400390696394479,0.7757853310152265,0.33507943429101883,0.8912727481957067,-0.9263553354005447,0.8839873984684915,0,-0.603985038871348,-0.2834523456557927,1.2446611397899614,0.12305088735041658,0.48796432435957426,-0.2525072978988754,-1.0337368940243605,-0.2454767816614047,-0.7725875462091892,1,-0.6480847575222659,0.1237393529434596,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
29,2,-1.0,0.3600936036275802,-0.09765079331516514,-1,0.01183546244901119,-1,0.37596332868661625,1,1,1,-0.0022661746800201055,0.4713572259460772,0.5525714285714285,0.2053523711153264,0.7652335917556599,-0.4591540768269107,-0.3418735662571213,0.24415053599991454,0.3079912697783548,-1.317784762616783,0.21820694397609278,-1,-0.6136186776871917,-0.4425478898064885,-0.5560233832712935,-0.3058641015001893,0.36348337637019246,-0.7759159698835156,0.46404489291908524,-0.28385483812991713,0.7875200041915967,1,0.36161773583537066,0.8344075509177502,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
30,9,0.33333333333333326,-1.0741224004819347,-0.765017969415826,1,-0.5914022137126708,-1,-0.2514818587985788,1,1,-1,0.5528022117253855,0.1434293465932308,-0.03428571428571425,-0.30636547797952257,-0.24715180540440462,-0.13584689700370667,-0.8132083107890433,-0.07142606121723782,-0.15602990618711743,-0.6964586084420122,-0.2577204042890712,1,-0.3019113644581546,0.6020760391007749,-0.10080535179633207,0.9278547890261011,-1.0756976844859805,1.3177187180550454,1.2129357863908081,-0.7420402931869151,0.7875200041915967,-1,0.36161773583537066,-0.13759110186550583,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
31,12,-1.0,-1.0339097794953458,-0.6818789236101501,-1,-0.5822739553861015,1,0.02970130053362294,-1,-1,-1,0.7408918794966863,0.6534722836076059,0.9542857142857142,0.37302143845611146,-0.7221792595602121,0.5454725135553949,0.927421978516134,-0.9792951891334077,0.4492506196249704,-0.5331109340241076,0.21142512543147687,1,0.30839001172686803,0.9301106141672297,0.5541252968220449,-0.4225171759151737,-1.0353458529675148,-0.2525072978988754,-0.2848460005526376,-0.6589737506681741,0.0074662289912037555,-1,1.3713202291930071,-0.6294452016441242,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
33,2,0.7777777777777777,-0.1723607397267426,-0.35076035340742556,1,0.2920323705478627,1,0.3391908587278636,1,1,-1,0.7680051805228618,0.8241342068099136,-0.37742857142857145,0.2033378151876712,-0.23541900394271953,-0.4448499891644552,0.5235549780713813,-0.5836494938580398,0.30626511250249294,-0.3331612807088575,0.19837687746311128,1,-0.6038911326113264,-0.8694974946315202,-0.5394546280612691,0.03736363004559817,-0.1708142501880369,-0.2525072978988754,0.8384903396549467,-0.3547347276625032,0.0074662289912037555,-1,-0.6480847575222659,0.6590781153076151,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
34,1,-0.33333333333333337,-0.25851108325408234,-0.8165419731747869,0,-0.3613080709320854,-1,-1.2536828059262024,1,-1,-1,0.6312476373279672,0.7137307818618839,-0.3365714285714285,-0.9917179502088729,0.35382091372629887,-1.6216938361956592,-0.892428267321945,-0.3936676264962624,-0.8878550103895871,1.4385559953386746,-1.2571736324065677,0,-0.9870341135966949,-0.37791401758462795,-1.6669855770493778,-0.05801365368374867,-0.2572628344991858,0.27090137408576487,1.2129357863908081,1.2425423166877194,-0.7725875462091892,1,-0.6480847575222659,-1.3031214057544667,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
36,11,-0.5555555555555556,-0.7183612218877119,-0.45080013823140413,0,-0.5254773016065271,1,0.20370459102551688,-1,1,1,-0.9607213059411156,0.3438975579858752,0.4731428571428571,0.1895564522360204,0.909172474078463,0.2867867132497365,0.8315651615245043,-0.4094720957357978,0.2944375557565821,-1.2336909598608985,-0.005370946964151489,1,0.0417464797293302,0.6507686095643797,0.29256078379724476,0.0014130466124331331,-0.7187049102154384,0.7943100460704051,-0.2848460005526376,-1.2701586961047469,0.0074662289912037555,-1,0.36161773583537066,0.16296574018021778,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
37,1,-0.11111111111111116,-0.7002712438739637,-0.8909337359592789,0,-0.5208434027295468,-1,-2.371613923877286,1,1,-1,0.5505425225812828,-0.9210898007598101,-0.3082857142857143,-2.2400131021477168,-0.9628492040425958,-1.9861962641175706,-0.9849003486934749,0.9698321376430195,-3.711848938612112,1.4086089216953925,-2.341665906231162,1,-0.9958939855693736,-0.1786562292115712,-1.8641546435198737,-0.12079180442992876,-0.7005523070245695,-0.2525072978988754,0.46404489291908524,2.3977402378068127,-1.5526413214095822,-1,-0.6480847575222659,-2.15003287997666,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
38,9,-0.33333333333333337,0.3846378987393109,0.11212732144854448,1,0.03024426617868004,1,-0.08005808173130657,1,-1,1,0.7726922285189424,0.9313059119851888,-0.5765714285714285,-0.07928605221288852,0.5166169935097928,-0.22667293846305003,-0.4974856544628168,-0.5618017443337218,0.010069500491040167,-0.12232178243241412,-0.11667905537857826,-1,-0.40289744271135075,-0.7749488119578123,-0.2343226751861955,0.9774834742629268,0.38811264042043525,-0.7759159698835156,-1.0337368940243605,-0.7691552676479155,0.0074662289912037555,1,-0.6480847575222659,0.049760476389661405,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
39,4,-0.33333333333333337,-1.0121842742432932,-0.7635150253339568,-1,-0.5798207604011133,1,-0.4485642632509299,1,1,1,0.8994741632702938,-0.4089027205459408,0.6642857142857144,-0.3779571887856462,0.24465118430277033,-0.5122223558916824,-0.5271406564535024,0.20482656671070543,-0.225632028385787,-1.4781074801010228,-0.4463732114462472,1,-0.589427319627172,-0.8570023597428446,-0.5151942239291364,0.6882297040660048,-1.0135451370892266,-0.2525072978988754,-1.4081823407602219,-0.2946256035808245,0.0074662289912037555,-1,3.3907252159082804,-0.4455794133309201,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
40,1,-1.0,0.40804212842131854,-0.8747881133053496,-1,0.048054175827341165,-1,-1.694693767067374,1,-1,-1,-0.09443097733291395,0.6431945785698889,-0.3028571428571428,-1.1774162564986126,-0.11073002135097043,-1.8024696927523007,0.44319364486153456,0.6968360881842905,-1.1192387565402568,1.4028615035214291,-1.594640797124404,1,-0.9957366851335139,-0.2809476009748695,-1.8398184970006553,-0.9307269428066683,0.4115978922928836,1.3177187180550454,0.46404489291908524,1.9011728405928097,-0.7725875462091892,-1,-0.6480847575222659,-2.10576550679437,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
41,9,0.5555555555555556,-0.9817786815165509,-0.7072648194030079,-1,-0.29307461747646146,-1,-0.3478041104679062,1,-1,1,-0.38157311890916634,0.6828505097050501,0.13742857142857146,-0.19119457478595164,-0.12892548666962123,-0.14296838520099162,-0.39862572556506015,-0.2997825397795274,-0.04670426539694439,-0.8782585201552728,-0.12850738617514137,0,-0.3237609233095697,-0.7134516335247174,-0.1288235171269595,0.3476427600549836,-0.9830342842923883,1.3177187180550454,0.46404489291908524,-0.8198810805887407,0.7875200041915967,1,0.36161773583537066,0.10533526300709149,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
42,1,-1.0,-0.39902254975244245,-0.6596402345766756,1,-0.4351479250284974,-1,-0.1497567401915128,1,-1,1,-0.8199440647933125,-0.13945423425413683,-0.6297142857142857,0.03152705135291236,0.3482944279004443,-1.0085582595640563,0.08250792038560051,-0.5635523131249267,0.15634136005758628,1.7489165767326937,-0.2160312621160193,-1,-0.8812723906974167,-0.3334011338860391,-1.1489130696314875,-0.4381204492139835,-0.3982607318986004,-0.2525072978988754,0.08959944618322384,0.09981809710554859,0.7875200041915967,-1,-0.6480847575222659,-0.19971048715566256,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
43,7,0.11111111111111116,-0.46747610053463706,-0.792479570448487,1,-0.44787798605656537,-1,-2.155871762020558,1,-1,1,0.8439243858609085,0.8622154459537943,0.10028571428571431,-2.071548796832413,-0.9311605193011264,-1.6692416089213866,-0.2875159206737007,-0.5838682701680376,-2.7743613104196987,0.9760400801813112,-2.120403156112027,-1,-0.9712732188178049,-0.28676739911760796,-1.5339194900676851,0.10323912783833644,-0.46695125930639525,0.7943100460704051,0.08959944618322384,1.9946578128157042,0.7875200041915967,1,0.36161773583537066,-1.9310137563688807,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
44,4,0.5555555555555556,0.13315289767253224,-0.1027936809743339,1,-0.14534668051204858,1,-0.2417091283239771,1,1,-1,0.6806108736283145,-0.8128675221076548,-0.17428571428571427,-0.18937673734875737,-0.9939575662410151,-0.34073010439532825,0.6557963736248293,0.7438876629869311,-0.04500361353801484,-0.548235718692432,-0.24433960610550642,1,-0.48625802403583795,0.5172876464634222,-0.35338738445895307,-0.9771055615156417,0.13575703323133367,-0.7759159698835156,-1.7826277874960834,-0.5833946602175624,0.7875200041915967,1,-0.6480847575222659,-0.24701404667519622,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
45,9,0.5555555555555556,0.9663824953305523,0.721623289342845,-1,0.5470841453955293,1,0.16013364623665702,1,1,-1,-0.5442992880459936,0.5252253466665329,-0.7725714285714286,-0.016509372573578856,0.38793405516941126,0.062056211143377726,0.04352860911359535,-0.5127665245910888,0.11341992268407769,0.08519026321699807,0.09763260353080731,-1,-0.15820701137909654,-0.8558997645614064,0.07341293305922703,0.9265150859160309,0.9718711554188707,0.27090137408576487,-0.2848460005526376,-0.904009585894046,0.7875200041915967,1,-0.6480847575222659,0.4235373055078212,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
