,Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,Avg_lottary_expanses,Age_group,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Avg_size_per_room,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_education_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_government_satisfaction,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Most_Important_Issue,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Financial_agenda_matters,Num_of_kids_born_last_10_years,Overall_happiness_score
14,Blues,1.0,1178.094328,42364.37089,30-45,154614.5033,No,928.9114609,Yes,Male,By_16:00,0.14119348,0.64546408,9473.0,840.8389851,3.8340814880000003,2760.4804870000003,679.9738645,,28.99722375,4.527,76524.02715,No,11638.14871,3.88060526,107.8802517,84.39403253,392.69810939999996,80.0,Healthcare,14.0,548.9548149,1.0,Motorcycle_or_truck,Industry_or_other,Yes,2.0,322.73669839999997
15,Turquoises,1.0,354.4682072,55054.31824,Below_30,14089.012719999999,No,670.6807147999999,Yes,Male,By_16:00,0.624419336,0.742733428,7080.0,399.0065664,56.79760054,5457.470635000001,89.47142842,62.38006428,19.97514872,2.92,52030.69365,Yes,217105.4422,2.382622799,465.9457502,90.98336247,118.15606909999998,60.0,Financial,11.0,110.7113126,1.0,Motorcycle_or_truck,Public_Sector,No,1.0,529.9604601
17,Violets,1.0,415.81340530000006,37502.14989,45_and_up,19359.80314,No,613.4059428999999,Yes,Female,After_16:00,0.071426186,0.510828422,5534.0,397.2975934,24.36850315,3500.290776,120.46601580000001,58.86565424,19.93232534,10.466,46907.423010000006,Maybe,73207.88622,9.865660532,270.56955889999995,21.83484358,138.6044684,90.0,Environment,15.0,254.9256156,0.0,Motorcycle_or_truck,Student_or_Unemployed,No,0.0,457.56230580000005
18,Turquoises,8.0,245.6078759,24797.1649,Below_30,6794.4502569999995,No,,Yes,Male,After_16:00,0.781278513,0.017198138999999998,4770.0,396.1081938,38.20666806,3821.0889119999997,438.0422148,89.74903587,19.90246703,5.23,47843.225739999994,Maybe,91740.68766,8.251551439,302.88725239999997,86.25241811,81.86929196,100.0,Education,15.0,223.8508813,2.0,Motorcycle_or_truck,Public_Sector,Yes,0.0,478.4994324
19,Khakis,9.0,123.9596344,18736.07525,45_and_up,1758.652206,Yes,655.0212594,Yes,Female,By_16:00,0.21880331100000003,0.11770921599999999,8413.0,427.06316,22.30781938,5388.523832,682.0609695,45.67232903,20.66550653,1.587,52238.26882,Yes,205607.6079,8.353898125,453.4397512,80.3009992,41.31987812,100.0,Education,9.0,99.61908491,0.0,Foot_or_bicycle,Services_or_Retail,Yes,1.0,450.64088039999996
20,Reds,7.0,65.89685088,10692.33175,45_and_up,514.4539454,No,771.786778,Yes,Male,By_16:00,0.950329779,0.357513642,7530.0,462.94676160000006,85.19292234,5793.651971,148.9391511,89.61556808,21.51619766,4.47,59407.95726,No,236950.723,0.074547264,486.7758447,88.04299026,21.96561696,50.0,Other,11.0,119.5719071,0.0,Public_or_other,Hightech,No,0.0,612.9142162
22,Reds,1.0,906.2092421,107993.4142,45_and_up,91558.20202000001,Yes,757.4898636,Yes,Female,After_16:00,0.8545462490000001,0.423774252,8134.0,510.1587458000001,91.39906673,4595.432682,904.3982619999999,,22.586694,3.866,58969.80415,No,127814.4862,9.930314953,357.511519,94.76548764,302.0697474,40.0,Foreign_Affairs,10.0,145.0544316,2.0,Motorcycle_or_truck,Public_Sector,No,1.0,525.1916811000001
23,Browns,6.0,251.7434279,8888.547578,Below_30,7135.553751,No,205.1855776,Yes,Male,After_16:00,0.65610459,0.90202295,9530.0,152.90545749999998,50.81546044,1365.049798,980.5786295,86.10037479,12.36549463,6.47,16654.14344,Yes,11219.87011,7.4392076629999995,105.92388829999999,3.816511133,83.91447596,90.0,Environment,15.0,651.7669411,0.0,Car,Student_or_Unemployed,No,0.0,113.95655390000002
24,Reds,5.0,385.619406,59894.582539999996,30-45,16661.0205,No,745.1537112999999,Yes,Male,By_16:00,0.381061369,0.103834321,7058.0,419.7818677,99.23883479,5499.177458,112.69621780000001,60.85343454,20.48857896,4.942,56258.57182999999,No,217120.0005,9.164661197000001,465.96137230000005,46.20817041,128.539802,50.0,Other,11.0,166.186734,1.0,Foot_or_bicycle,Hightech,Yes,1.0,641.5077864
25,Reds,2.0,671.9263854,115176.8621,Below_30,50398.982939999994,Yes,784.3895206,No,Male,By_16:00,0.804255589,0.531782329,7083.0,502.04618939999995,84.81504063,6146.4799060000005,360.7510626,70.84452822,22.40638725,4.917,61837.46139,Yes,264441.4948,7.55088307,514.2387527,37.69071654,223.97546180000003,50.0,Other,9.0,63.88866175,,Car,Industry_or_other,No,0.0,562.2481496
26,Reds,9.0,167.4006914,29218.9681,45_and_up,3179.46595,No,820.2817932,No,Male,After_16:00,0.389282665,0.7105099979999999,9412.0,520.2806724999999,3.925266396,6276.91393,874.1449807,22.75564827,22.80966182,2.588,64308.87365,Yes,274193.88399999996,2.8606257310000003,523.6352585,44.86082504,55.80023046,40.0,Foreign_Affairs,10.0,104.0991982,1.0,Public_or_other,Public_Sector,Yes,0.0,
28,Pinks,9.0,656.2012407000001,157909.1291,30-45,48073.18578,No,905.4397939999999,No,Male,After_16:00,0.25291277300000004,0.984993542,7140.0,638.4491464,47.76561032,8496.137729,887.7269472000002,66.74658072,25.26755125,2.86,75246.22447,Maybe,,3.582289566,721.9239436,56.16070919,218.7337469,70.0,Social,,262.13969610000004,1.0,Motorcycle_or_truck,Public_Sector,Yes,0.0,517.2863358
32,Turquoises,8.0,,97030.48603,Below_30,50888.62063,Yes,622.8771972999999,Yes,Female,After_16:00,0.430532696,0.8770271409999999,4506.0,400.8106861,59.27395534,5112.871618,96.24951589,78.76755274,20.02025689,5.494,49469.59387,Maybe,185868.7868,6.551385163,431.1250246,60.41347601,225.0634514,90.0,Environment,12.0,135.71141430000003,2.0,Motorcycle_or_truck,Hightech,Yes,0.0,438.07015480000007
33,Greens,9.0,410.1011727,42094.512910000005,45_and_up,,Yes,792.8607297,Yes,Male,After_16:00,0.883869039,0.912038681,5179.0,491.7513692,38.23800287,4062.829186,761.6693333,20.82439337,22.17546773,4.821000000000001,59271.56121,Yes,94822.5137,0.6529981739999999,307.93264469999997,51.87766489,136.7003909,70.0,Social,13.0,237.2214887,2.0,Motorcycle_or_truck,Public_Sector,No,0.0,638.9824659
35,Khakis,5.0,276.9044723,28667.160410000004,45_and_up,8621.86669,No,562.7442553999999,Yes,Female,After_16:00,0.482375125,0.045344729,5363.0,379.18281160000004,2.172290743,3864.183327,15.9100187,50.54287815,19.47261697,4.637,44373.90623,Yes,96461.03607999999,5.627325673,310.5817704,65.28074748,92.30149077,60.0,Financial,5.0,254.31167200000002,2.0,Public_or_other,Industry_or_other,Yes,0.0,380.8430959
36,Whites,3.0,205.4255292,34305.780439999995,30-45,4767.324957,Yes,753.2857409,No,Male,By_16:00,0.019710496,0.6719664059999999,8156.0,488.98267549999997,95.45471289,5987.924032,915.6041326999999,29.53055997,22.11295266,1.844,,Yes,250996.8598,8.25190488,500.9958681,50.08068893,68.47517639,90.0,Environment,10.0,28.442858500000003,2.0,Public_or_other,Services_or_Retail,No,1.0,526.2034923
38,Turquoises,4.0,618.8996234,78133.25759,45_and_up,42775.93808,Yes,670.3998161000001,Yes,Female,By_16:00,0.886212008,0.965614257,4482.0,,75.83135073,4636.900326,251.38203309999997,21.91644176,20.60991283,5.518,51930.78641,No,143441.2086,1.125590845,378.7363312,98.86919043,206.29987450000002,60.0,Financial,8.0,142.70555330000002,2.0,Public_or_other,Services_or_Retail,Yes,0.0,500.46905369999996
39,Khakis,4.0,95.28199585,9958.940837,Below_30,1050.500524,Yes,562.7606563999999,Yes,Male,By_16:00,0.9495879629999999,0.295638452,,374.9684486,62.23611685,3885.557877,236.5612998,60.23595892,19.36410206,1.036,44248.94233,Yes,98321.18926,0.715453927,313.56209789999997,84.41095299,31.76066528,70.0,Social,7.0,250.9304378,2.0,Public_or_other,Industry_or_other,No,4.0,387.8656857
40,Browns,1.0,627.6730144999999,1295.624389,Below_30,43994.04802,No,198.7712869,Yes,Female,After_16:00,0.45275308200000003,0.821586217,5440.0,214.3560845,44.47105064,490.63729680000006,721.5070063,84.8287988,14.640904500000001,10.56,17494.411219999998,Yes,38.34721458,3.594809296,6.192512784,3.488033335,209.2243382,100.0,Education,12.0,751.7211175,1.0,Foot_or_bicycle,Services_or_Retail,No,0.0,10.46311928
41,Turquoises,8.0,106.6799423,14338.376540000001,Below_30,,No,,Yes,Female,By_16:00,0.309216012,0.84141038,6981.0,412.48930010000004,43.56148187,4857.14516,300.7894363,35.01333534,20.3098326,3.0189999999999997,51655.18737,Maybe,162583.6717,1.43297869,403.216656,67.38684678,35.55998078,,Education,12.0,131.1366343,3.0,Foot_or_bicycle,Public_Sector,Yes,1.0,513.1026176
42,Browns,1.0,325.1339367,18046.25287,45_and_up,,No,650.0411209,Yes,Female,By_16:00,0.090082447,0.430336858,4296.0,457.23436380000004,67.4171142,2579.590466,541.2464577000001,21.82894049,21.38303916,11.704,49615.888960000004,No,27726.30404,3.33262526,166.5121739,28.11077773,108.37797890000002,70.0,Social,11.0,340.89030160000004,3.0,Motorcycle_or_truck,Student_or_Unemployed,No,0.0,443.7579523
46,Turquoises,6.0,209.5869011,32274.8758,Below_30,4960.6033130000005,Yes,727.1153655,Yes,Female,By_16:00,0.762313079,0.851865447,6738.0,471.1795914,54.14794201,5562.1434770000005,855.6349627000001,93.52925627,21.70667159,3.262,57363.37157,Yes,213424.0693,9.758827845,461.9784295,14.85147078,69.86230037,100.0,Education,14.0,49.6414011,4.0,Foot_or_bicycle,Student_or_Unemployed,Yes,0.0,513.7117806
47,Greys,3.0,159.0611322,22205.41105,Below_30,2874.180796,No,672.9783997999999,Yes,Female,After_16:00,0.569922811,0.44523050000000003,9806.0,419.5000885,11.88711284,5027.090143,619.8710447999999,39.44163111,20.48170131,2.194,52342.94137,No,175400.9756,5.554738212,418.8089966,4.965644935,53.02037739,30.0,Military,9.0,114.553706,1.0,Foot_or_bicycle,Hightech,No,0.0,507.09484100000003
48,Whites,4.0,141.34573400000002,13955.28979,Below_30,2276.961525,No,552.5366307,Yes,Female,After_16:00,0.293279297,0.118410647,7227.0,284.4995113,84.40689449,3530.9468770000003,665.8306982999999,72.97189471,16.86711331,2.773,40071.181489999995,Maybe,87731.35095,3.984265609,296.1947855,27.86513686,47.11524467,70.0,Social,8.0,298.5215046,3.0,Motorcycle_or_truck,Student_or_Unemployed,No,0.0,533.7351838999999
50,Browns,3.0,272.8029091,1860.2274100000002,45_and_up,8369.981773,No,37.80579672,Yes,Female,After_16:00,0.607303151,0.422228505,5282.0,38.59891102,55.49905342,281.76610350000004,932.8559587999999,70.01746024,6.2128021879999995,10.718,3482.6492829999997,No,418.48181769999997,8.71677547,20.45682814,64.41359848,90.93430304,90.0,Environment,15.0,831.1525739,2.0,Car,Services_or_Retail,Yes,1.0,2.042187964
53,Pinks,,43.62869072,10584.99244,45_and_up,236.0387473,Yes,920.5491424,,Female,By_16:00,0.5036005029999999,0.805387182,6046.0,661.4956921,1.96658494,8601.453516,637.7073547,97.83511602,25.71955855,3.9539999999999997,76904.28731,No,529760.11,1.709973107,727.8462131,12.56874388,14.54289691,70.0,Social,8.0,279.3172927,4.0,Foot_or_bicycle,Services_or_Retail,No,0.0,504.83679639999997
54,Reds,8.0,437.57109929999996,92174.64267999999,30-45,21430.13114,No,796.7772391,No,Male,By_16:00,0.84790892,0.80426451,5966.0,501.8354775,70.45018792,7323.190879000001,735.0397613,5.127096269,22.401684699999997,6.034,63858.807129999994,Yes,399363.3207,9.115713851,631.9519924,71.81096794,145.8570331,40.0,Foreign_Affairs,8.0,146.60431440000002,1.0,Foot_or_bicycle,Industry_or_other,No,0.0,563.8602202000001
55,Blues,4.0,1515.939431,62197.438129999995,Below_30,255856.6862,Yes,610.818453,Yes,Male,By_16:00,0.848500074,0.107896166,9084.0,123.5250251,16.08273601,1477.919243,280.0704725,34.17793182,11.11418126,4.916,34391.99261,Maybe,15150.38971,0.26565864699999997,123.08691929999999,48.5983951,505.31314360000005,60.0,Financial,10.0,713.5213636,1.0,Car,Services_or_Retail,Yes,0.0,974.6744769999999
56,Purples,1.0,502.5351869,59908.44157,30-45,28237.691069999997,Yes,230.6419514,Yes,Male,After_16:00,0.918399181,0.57641381,3626.0,110.58645039999999,69.8440026,3797.5458479999998,863.2009860999999,36.64755742,10.51600924,12.374,19312.8692,Yes,127904.4345,7.775140647000001,357.6372947,61.87492411,167.511729,60.0,Financial,10.0,517.2775146,3.0,Car,Industry_or_other,No,1.0,190.7008332
57,Reds,6.0,424.73140520000004,74033.65364,30-45,20195.66231,No,797.3602057999999,No,Female,By_16:00,0.013310106,0.296344506,8537.0,454.22269769999997,57.86627324,6137.655154,345.5604373,19.52199694,21.31250097,3.463,60695.7857,No,273446.347,4.115185491,522.9209758999999,29.89758002,141.5771351,50.0,Other,8.0,179.9705066,2.0,Car,Industry_or_other,Yes,0.0,672.5353607000001
59,Pinks,8.0,162.1285283,17976.13472,45_and_up,2984.6716969999998,Yes,602.1920566,Yes,Female,After_16:00,0.7246092940000001,0.782214108,9362.0,,63.75626170000001,4174.01178,448.6335325,95.26426368,20.58806642,0.638,48186.73867,Yes,110641.0419,9.556850574,332.6274822,40.9497852,54.04284276,80.0,Healthcare,7.0,222.3977079,3.0,Foot_or_bicycle,Services_or_Retail,No,1.0,374.8953546
61,Browns,7.0,251.6893727,14165.76916,30-45,7132.51205,No,206.87035769999997,Yes,Female,After_16:00,0.347839026,0.887075231,9970.0,192.34703430000002,73.85699782,2073.176464,516.8701364,84.69520279,13.86892333,6.03,19034.35015,Maybe,28509.72799,5.571484992,168.8482395,16.96310937,83.89645757,90.0,Environment,11.0,649.387596,2.0,Motorcycle_or_truck,Services_or_Retail,No,0.0,33.74640577
63,Greens,2.0,82.87795113,8480.395568,Below_30,800.8209597,Yes,800.7338515,Yes,Female,By_16:00,0.03324475,0.21802243300000002,9596.0,514.6158496,35.48480861,4098.948838,64.96834802,96.97119249,22.68514601,0.40399999999999997,60504.378220000006,No,,3.1872872819999998,306.9717139,83.43806670000001,27.62598371,70.0,Social,13.0,224.5350285,1.0,Motorcycle_or_truck,Industry_or_other,No,2.0,613.7648309
65,Browns,2.0,166.0888199,760.3860785,30-45,3130.418062,Yes,281.4713542,Yes,Female,By_16:00,0.768104397,0.34986327799999994,8619.0,258.7556945,64.85078146,654.8570717,247.95958330000002,63.42208856,16.08588495,7.381,23105.96075,No,188.6383655,2.651285219,13.73456827,35.96110626,55.36293997,100.0,Education,13.0,677.5953161,3.0,Motorcycle_or_truck,Public_Sector,Yes,1.0,94.43554475
66,Turquoises,1.0,773.5313359,100844.4665,30-45,66751.25795,No,728.597966,Yes,Male,After_16:00,0.534543446,0.15662258,7201.0,448.83911680000006,0.069899671,4808.746673,58.51871427,99.80907277,21.18582349,2.799,55690.42121,No,152964.5634,7.564058639,391.1068439,80.74723622,257.8437786,80.0,Healthcare,11.0,139.73284950000001,2.0,Car,Industry_or_other,No,0.0,571.0641529
71,Oranges,5.0,251.82750409999997,20869.2941,45_and_up,7140.286037999999,No,635.2588638,Yes,Male,After_16:00,0.193659936,0.302628401,4820.0,437.26546210000004,34.15451667,3360.672481,758.9472595,50.22989106,20.91089338,7.18,49183.1701,Yes,61808.9984,4.778804001,248.6141557,58.03228854,,50.0,Other,7.0,267.4395119,0.0,Motorcycle_or_truck,Industry_or_other,Yes,2.0,433.71706460000007
72,Browns,,401.066752,9451.033448999999,30-45,18016.415530000002,Yes,174.2985351,Yes,Male,After_16:00,0.326838409,0.186358398,8336.0,152.94503269999998,19.92516457,1012.832244,55.78814773,91.02396967,12.36709476,7.664,14798.019180000001,Maybe,4997.672442,6.034741914,70.69421788,58.16618497,133.68891729999999,100.0,Education,12.0,706.4651496,0.0,Motorcycle_or_truck,Services_or_Retail,Yes,1.0,59.15716777
73,Turquoises,8.0,439.8352136,70830.22611,45_and_up,21651.613419999998,No,644.4456029,Yes,Male,After_16:00,0.849434118,0.995889268,6154.0,368.8891412,61.43523685,5568.921214,750.375428,27.83427171,19.20648696,3.846,49874.23582,Maybe,233399.4203,2.340610521,483.1142932,82.21384913,146.6117379,100.0,Education,12.0,135.18231459999998,3.0,Motorcycle_or_truck,Student_or_Unemployed,Yes,3.0,528.2678931
74,Purples,7.0,424.7096348,9841.363366,30-45,,No,26.1107938,Yes,Male,After_16:00,0.458039797,0.651098001,,2.270325207,56.12146377,699.7000647000001,576.2597329,38.46393968,1.506759837,6.4910000000000005,2150.728741,Yes,4832.466113,0.27347089,69.51594143,23.46065252,141.5698783,70.0,Social,11.0,806.2204147000001,4.0,Public_or_other,Public_Sector,No,0.0,34.23181394
76,Khakis,7.0,742.0188714,75139.03092,Below_30,61434.22912,No,550.4070303,Yes,Female,By_16:00,0.155330895,0.850898782,3087.0,364.5219865,20.69147401,3766.93292,248.1810756,24.44667693,19.09245889,6.912999999999999,43156.25437,Yes,92287.69252000001,3.880662217,303.78889469999996,48.39856015,247.3396238,60.0,Financial,6.0,265.1950624,3.0,Foot_or_bicycle,Public_Sector,No,0.0,383.91670600000003
77,Greens,2.0,737.4457517000001,68650.52614,45_and_up,60680.952670000006,No,801.9029362000001,Yes,Male,After_16:00,0.827784025,0.769199874,4928.0,502.36346460000004,64.50409023,3797.496132,35.46680859,31.16991778,22.41346614,5.072,59741.798610000005,No,77995.59821,4.664282063,279.27692030000003,75.06204406,245.8152506,100.0,Education,15.0,263.38731310000003,0.0,Motorcycle_or_truck,Industry_or_other,Yes,1.0,643.696252
83,Browns,3.0,513.6609334,7414.776481999999,45_and_up,29497.615260000002,No,147.8032343,Yes,Female,After_16:00,0.472826455,0.8054050159999999,8779.0,116.8131628,74.12504787,666.681051,936.4954803999999,28.38110921,10.80801382,7.221,11844.92472,Maybe,1875.363952,7.309144705,43.30547254,99.23105129999999,171.2203111,100.0,Education,12.0,731.1637592000001,1.0,Public_or_other,Services_or_Retail,Yes,0.0,76.68168100000001
84,Blues,9.0,1487.641572,466686.6012,Below_30,246403.3748,,1028.087972,No,Female,By_16:00,0.5777149,0.178743039,3467.0,539.5354943,54.35593654,10490.34202,905.6438132999999,30.442357899999998,23.22790336,10.533,79788.09285,Yes,885720.2241,3.3751037110000004,941.1271031,59.40727894,,70.0,Social,9.0,594.6392252999999,1.0,Foot_or_bicycle,Industry_or_other,Yes,0.0,896.7866326999999
86,Khakis,9.0,505.3429237,85166.29501,Below_30,28553.05547,No,682.4989142999999,No,Female,After_16:00,0.136700828,0.006901424000000001,5442.0,443.9709826,99.52636452,5943.89255,336.0239714,82.72835123,21.07061894,4.558,54801.60871,Yes,255626.3631,7.939839815,505.5950585,36.1385352,168.44764119999996,70.0,Social,6.0,66.44136085,3.0,Foot_or_bicycle,Hightech,Yes,2.0,464.7310482
87,Khakis,8.0,413.1653994,45270.318139999996,Below_30,19115.01594,No,575.9211275,Yes,Male,By_16:00,0.270708599,0.285855982,3720.0,379.4731881,42.82613664,4046.030789,810.8920287000001,6.51105009,19.48007156,6.28,45216.0216,Yes,108049.2394,4.139080758,328.7084413,86.47495643,137.7217998,100.0,Education,10.0,230.79653419999997,0.0,Foot_or_bicycle,Industry_or_other,Yes,0.0,403.04882810000004
88,Greens,4.0,1008.194087,94281.71458,30-45,113285.5443,Yes,802.6221787000001,Yes,Female,After_16:00,0.641582278,0.070872629,7105.0,499.62000020000005,59.63014592,3804.7032289999997,758.6000666,69.48757921,22.35218111,2.895,59684.72663,Yes,78706.23925,7.244347157000001,280.5463228,79.21611639,336.06469560000005,100.0,Education,13.0,265.7175592,1.0,Foot_or_bicycle,Hightech,Yes,1.0,649.8190923
89,Yellows,8.0,882.0035239,169325.0793,Below_30,86740.69186,Yes,883.4373509999999,No,Female,After_16:00,0.137301693,0.7106886020000001,6643.0,574.9075652,14.99485797,6909.148559,763.6542902000001,45.01984918,23.97723014,7.357,69971.12361000001,Maybe,331699.2154,7.587339277000001,575.9333429,83.13625746,294.0011746,70.0,Social,9.0,158.21495009999998,1.0,Public_or_other,Hightech,No,1.0,616.8544161
91,Greens,4.0,340.3909625,29545.06155,30-45,,No,822.3220482,Yes,Male,After_16:00,0.08883317800000001,0.70962226,6205.0,515.5799653,35.366876399999995,3635.082902,665.8824154,66.69700502,22.706386,3.795,60957.06536,Yes,67804.1484,0.654887024,260.3922971,30.63940885,113.46365420000001,100.0,Education,12.0,291.0703973,3.0,Public_or_other,Public_Sector,Yes,1.0,664.5216995000001
92,Whites,7.0,176.7636636,29634.3285,Below_30,3540.631529,Yes,689.8822849999999,No,Female,After_16:00,0.7551589670000001,0.104243205,4675.0,446.2173755,80.00741987,5921.917829,597.2884897999999,6.7812236960000005,21.12385797,5.325,55195.13482000001,No,252957.0004,6.659797572,502.94830779999995,93.57514277,58.921221200000005,90.0,Environment,9.0,58.97498728,3.0,Public_or_other,Services_or_Retail,Yes,1.0,475.9836326
93,Oranges,3.0,759.7732413,105916.1632,Below_30,64402.744210000004,No,670.2658165,Yes,Male,After_16:00,0.418949319,0.349687609,9068.0,487.95104789999993,11.50498709,5158.051087,215.19760580000002,56.08020748,22.08961403,2.932,54853.00276,Maybe,174903.7019,4.759362156,418.2148992,64.79984131,253.2577471,50.0,Other,9.0,146.89309540000002,2.0,Public_or_other,Student_or_Unemployed,No,1.0,378.576767
96,Reds,10.0,436.7475933,68365.12966,Below_30,21349.85589,Yes,764.7615337,Yes,Female,By_16:00,0.208284389,0.42823636,3306.0,436.3054048,98.39310781,5568.581483,353.20910319999996,59.24351036,20.88792486,8.693999999999999,57843.422810000004,Maybe,220521.4056,4.5924972230000005,469.59706730000005,21.89272717,145.5825311,50.0,Other,7.0,166.0047645,0.0,Motorcycle_or_truck,Public_Sector,Yes,0.0,650.2539253
97,Khakis,9.0,304.968022,33247.87712,Below_30,10445.59983,Yes,584.307018,Yes,Male,After_16:00,0.27290687199999997,0.23927535800000002,8131.0,396.37800189999996,37.27519761,4063.381911,899.2448275,83.21476283,19.90924413,1.869,46233.88983,Maybe,106969.9383,3.760055962,327.0625907,94.58562748,101.6560073,60.0,Financial,5.0,229.796211,2.0,Public_or_other,Services_or_Retail,Yes,0.0,389.7211146
